Wavelength,Clear,Red,Blue,Green
698.273,0.044658,0.042678,0.012268,0.008703
701.509,0.045999,0.044465,0.014465,0.008794
702.515,0.046476,0.045094,0.014569,0.009586
702.842,0.046633,0.045304,0.014592,0.010041
705.772,0.048049,0.047278,0.014676,0.013001
708.81,0.049595,0.049477,0.014648,0.013685
715.921,0.053659,0.055302,0.014427,0.014855
716.072,0.053757,0.055445,0.014422,0.014931
719.082,0.055847,0.059498,0.01431,0.018408
719.952,0.056512,0.058819,0.014278,0.018716
720.184,0.056695,0.058693,0.01427,0.018749
723.341,0.059331,0.058553,0.014166,0.01852
731.492,0.06442,0.064603,0.014077,0.017926
731.864,0.064479,0.064781,0.014086,0.017991
732.336,0.064525,0.064989,0.014099,0.018101
734.213,0.064444,0.065661,0.014194,0.018897
739.732,0.063304,0.066578,0.015459,0.024331
741.231,0.063219,0.066581,0.017771,0.024818
742.629,0.063406,0.066471,0.017587,0.024769
744.744,0.06431,0.066029,0.017152,0.02557
745.647,0.064902,0.06569,0.017109,0.026397
747.746,0.066685,0.064508,0.017446,0.028954
751.384,0.070824,0.067915,0.01956,0.034136
751.39,0.070831,0.067932,0.019565,0.034143
753.421,0.074834,0.075354,0.021453,0.036565
755.277,0.082794,0.08357,0.023634,0.039756
755.37,0.083207,0.083995,0.023755,0.039931
757.274,0.091774,0.093001,0.026638,0.043687
762.544,0.116616,0.118875,0.038805,0.055036
764.147,0.125319,0.126656,0.041186,0.05897
764.311,0.126344,0.127433,0.041388,0.059409
764.552,0.136223,0.128569,0.041676,0.060082
765.485,0.138291,0.132782,0.042698,0.063287
765.73,0.138766,0.125288,0.042947,0.064641
766.32,0.140068,0.126773,0.043519,0.067679
766.543,0.140679,0.127803,0.043726,0.068177
768.243,0.141603,0.136523,0.045225,0.070742
768.562,0.140793,0.138131,0.045506,0.0711
770.12,0.135716,0.136359,0.046986,0.072384
771.085,0.132143,0.132768,0.047593,0.072666
771.445,0.13077,0.13141,0.047686,0.072607
771.747,0.129604,0.130272,0.047729,0.072469
774.714,0.117877,0.119286,0.047131,0.06657
775.453,0.114912,0.116569,0.046586,0.064774
777.581,0.106374,0.10876,0.042835,0.060466
778.718,0.101838,0.104583,0.04247,0.0586
780.087,0.096454,0.099546,0.043766,0.056753
781.23,0.092078,0.095322,0.046031,0.055398
782.596,0.087139,0.090229,0.048445,0.053763
782.747,0.086622,0.08966,0.048577,0.053574
782.975,0.085858,0.0888,0.048717,0.053284
785.997,0.078662,0.0781,0.050497,0.0492
786.105,0.078527,0.07796,0.050624,0.049054
786.749,0.077787,0.077239,0.051451,0.0482
788.483,0.07591,0.075763,0.054008,0.046092
788.752,0.075637,0.075597,0.054423,0.045806
792.008,0.073177,0.073717,0.059141,0.043743
792.259,0.073092,0.073514,0.059422,0.043686
792.501,0.073033,0.073314,0.059666,0.04364
792.866,0.072986,0.073008,0.059965,0.043585
796.385,0.073736,0.07013,0.060127,0.043681
797.27,0.073707,0.069476,0.060801,0.043857
798.003,0.073518,0.068968,0.061506,0.044043
801.526,0.071112,0.067142,0.065617,0.045729
803.406,0.068918,0.066776,0.067919,0.047408
803.782,0.068386,0.066756,0.068356,0.047814
805.399,0.06597,0.066848,0.070023,0.049805
807.668,0.064515,0.067296,0.071501,0.053152
809.044,0.065103,0.067439,0.072259,0.055344
811.55,0.068059,0.068343,0.074611,0.059376
813.059,0.070575,0.071322,0.076798,0.06161
813.557,0.071477,0.072426,0.077647,0.062241
814.052,0.072398,0.073554,0.078541,0.062746
818.188,0.080659,0.083309,0.087298,0.065548
820.21,0.084838,0.088015,0.092084,0.069754
824.1,0.092684,0.096522,0.101599,0.078499
827.107,0.098135,0.102062,0.106855,0.085438
827.606,0.098938,0.102813,0.107279,0.086591
827.737,0.099142,0.102998,0.107368,0.086893
831.739,0.103533,0.105774,0.10721,0.095964
831.746,0.103537,0.105773,0.107204,0.095979
832.872,0.103915,0.105241,0.104392,0.098305
834.375,0.103664,0.103921,0.101694,0.100035
835.373,0.103005,0.103454,0.099944,0.097518
835.875,0.102535,0.103321,0.098922,0.096856
837.626,0.100308,0.10185,0.093298,0.095578
838.131,0.099542,0.100811,0.092015,0.095303
838.382,0.099148,0.100166,0.091426,0.09517
840.377,0.095763,0.093416,0.086112,0.09407
841.635,0.093438,0.089269,0.08032,0.093134
842.377,0.092003,0.087115,0.07799,0.092356
845.012,0.086558,0.081313,0.077431,0.08501
845.135,0.086291,0.081107,0.077474,0.082689
845.258,0.086021,0.080905,0.077516,0.081021
847.263,0.081406,0.078186,0.076927,0.077824
847.641,0.080477,0.077763,0.076536,0.077691
848.139,0.079217,0.077236,0.075949,0.077567
854.4,0.069586,0.072367,0.070004,0.077374
857.156,0.067734,0.070467,0.069644,0.077211
858.037,0.067238,0.069753,0.069697,0.077022
859.659,0.066403,0.068217,0.069875,0.0762
862.169,0.06526,0.065427,0.070047,0.073111
862.794,0.064997,0.064766,0.069987,0.073112
864.168,0.064445,0.063584,0.069554,0.073678
866.68,0.063512,0.06242,0.067921,0.073727
868.054,0.063038,0.062102,0.067323,0.072794
872.185,0.061752,0.061695,0.068028,0.069486
872.314,0.061715,0.061687,0.067939,0.069404
876.073,0.06071,0.061444,0.063711,0.067776
876.697,0.060556,0.061386,0.063559,0.067631
880.203,0.059765,0.060742,0.063299,0.067222
884.462,0.058962,0.05886,0.063443,0.067192
890.977,0.058072,0.059472,0.063654,0.067001
891.107,0.058058,0.059447,0.063648,0.066966
892.358,0.057938,0.05849,0.063528,0.066152
895.489,0.05771,0.057084,0.060832,0.062586
895.987,0.057684,0.056964,0.06021,0.062496
896.991,0.057639,0.056758,0.059616,0.06239
900.748,0.05758,0.056221,0.059188,0.062409
909.52,0.058095,0.055813,0.060685,0.063547
912.53,0.058454,0.055994,0.06229,0.064269
914.529,0.058735,0.056303,0.063914,0.065037
915.537,0.058889,0.05657,0.06442,0.06565
919.297,0.05953,0.059565,0.063546,0.067535
920.047,0.059669,0.06074,0.06363,0.067685
920.295,0.059715,0.060976,0.063749,0.067729
924.058,0.060463,0.0612,0.067681,0.068166
931.45,0.062054,0.060208,0.067198,0.06818
933.074,0.062394,0.060014,0.066226,0.068017
936.462,0.062998,0.059639,0.062782,0.067345
937.21,0.063091,0.059559,0.061723,0.067099
937.587,0.063127,0.059518,0.06115,0.066955
940.589,0.062855,0.059196,0.056721,0.065184
942.845,0.058121,0.058948,0.059508,0.062723
944.35,0.057414,0.058776,0.060148,0.060619
944.476,0.057381,0.058762,0.060183,0.06046
948.985,0.05685,0.058208,0.060741,0.05889
952.12,0.05669,0.057775,0.060724,0.063879
957.628,0.056219,0.056872,0.060184,0.064102
958.51,0.056091,0.056705,0.060017,0.063554
958.758,0.056052,0.056656,0.059963,0.063353
962.892,0.055233,0.055738,0.057734,0.059018
963.392,0.055118,0.05561,0.057456,0.058972
966.648,0.054316,0.05464,0.056998,0.059686
968.779,0.053777,0.053829,0.056665,0.059664
969.908,0.0535,0.053329,0.055798,0.059317
